,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ
332, Bank Negara Indonesia Persero Tbk PT ,31,0.0,0.0,na,na
333, Bank of America Corp ,78,0.0,0.0,na,TANNZ
334, Bank of China Ltd ,29,0.0,0.0,na,na
335, Bank of Communications Co Ltd ,23,0.0,0.0,na,na
336, Bank of East Asia Ltd ,27,0.0,0.0,na,na
337, Bank of Ireland Group PLC ,27,0.0,0.0,na,na
338, Bank of Kyoto Ltd ,5,0.0,0.0,na,na
339, Bank of Montreal ,71,0.0,0.0,na,BMLP
340, Bank of New York Mellon Corp ,63,0.0,0.0,na,na
341, Bank of Nova Scotia ,74,0.0,0.0,na,na
342, Bank of Queensland Ltd ,29,0.0,0.0,na,na
343, Bank of the Philippine Islands ,29,0.0,0.0,na,na
344, Bank OZK ,12,0.0,0.0,na,OZK
345, Bank Polska Kasa Opieki SA ,20,0.0,0.0,na,na
346, Bank Rakyat Indonesia Persero Tbk PT ,42,0.0,0.0,na,na
347, Bankia SA ,78,0.0,0.0,na,na
348, Bankinter SA ,78,0.0,0.0,na,na
349, BankUnited Inc ,15,0.0,0.0,na,na
350, Banpu PCL ,76,0.0,0.0,na,na
351, Banque Cantonale Vaudoise ,13,0.0,0.0,na,na
352, Banvida SA ,1,0.0,0.0,na,na
353, Bapcor Ltd ,13,0.0,0.0,na,na
354, Barclays PLC ,70,0.0,0.0,na,TAPR
355, Barito Pacific Tbk PT ,6,0.0,0.0,na,na
356, Barloworld Ltd ,46,0.0,0.0,na,na
357, Barratt Developments PLC ,48,0.0,1.0,United Kingdom (UK),na
358, Barrick Gold Corp ,79,0.0,0.0,na,GOLD
359, Barry Callebaut AG ,18,0.0,1.0,Switzerland,na
360, Barwa Real Estate Co ,3,0.0,0.0,na,na
361, BASF SE ,35,0.0,0.0,na,na
362, Bausch Health Cos Inc ,10,0.0,0.0,na,na
363, Baxter International Inc ,74,0.0,0.0,na,na
364, Bayerische Motoren Werke AG ,78,0.0,0.0,na,na
365, BB Seguridade Participacoes SA ,15,0.0,0.0,na,na
366, BB&T Corp ,26,0.0,0.0,na,na
367, BCE Inc ,39,0.0,0.0,na,na
368, BDO Unibank Inc ,32,0.0,0.0,na,na
369, Beach Energy Ltd ,47,0.0,0.0,na,na
