,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ,Symbol NYSE,Symbol NQ_North
1327, Hexagon AB ,15,0.0,0.0,na,na,na,HEXA B
1328, Hexcel Corp ,18,0.0,0.0,na,na,HXL,na
1333, Hilton Worldwide Holdings Inc ,79,0.0,0.0,na,na,HLT,na
1351, HollyFrontier Corp ,22,0.0,0.0,na,na,HFC,na
1357, Honda Motor Co Ltd ,80,0.0,0.0,na,na,HMC,na
1365, Hormel Foods Corp ,34,0.0,0.0,na,na,HRL,na
1367, Host Hotels & Resorts Inc ,69,0.0,1.0,United States of America (USA),PLYA,PK,na
1375, HP Inc ,86,1.0,1.0,United States of America (USA),na,HPQ,na
1378, Huaneng Power International Inc ,10,0.0,0.0,na,na,HNP,na
1382, Hubbell Inc ,11,0.0,0.0,na,na,HUBB,na
1384, Hudson Pacific Properties Inc ,14,0.0,0.0,na,na,HPP,na
1389, Humana Inc ,62,0.0,0.0,na,na,HUM,na
1390, Huntington Bancshares Inc/OH ,34,0.0,0.0,na,HBANO,na,na
1391, Huntington Ingalls Industries Inc ,16,0.0,0.0,na,na,HII,na
1392, Huntsman Corp ,20,0.0,0.0,na,na,HUN,na
1394, Husqvarna AB ,28,0.0,1.0,Sweden,na,na,HUSQ B
1395, Hyatt Hotels Corp ,20,0.0,0.0,na,na,H,na
1416, IAC/InterActiveCorp ,6,0.0,0.0,na,IAC,na,na
1418, IBERIABANK Corp ,17,0.0,0.0,na,IBKCP,na,na
1420, ICA Gruppen AB ,66,0.0,1.0,Sweden,na,na,ICA
1424, ICON PLC ,10,0.0,0.0,na,ICLR,na,na
1427, IDEX Corp ,13,0.0,0.0,na,na,IEX,na
1433, IHS Markit Ltd ,51,0.0,0.0,na,INFO,INFO,na
1436, Illinois Tool Works Inc ,31,0.0,0.0,na,na,ITW,na
1446, Incyte Corp ,16,0.0,0.0,na,INCY,na,na
1470, Infosys Ltd ,71,0.0,0.0,na,na,INFY,na
1477, Ingevity Corp ,35,0.0,0.0,na,na,NGVT,na
1479, Ingredion Inc ,17,0.0,0.0,na,na,INGR,na
1487, Insulet Corp ,10,0.0,0.0,na,PODD,na,na
1490, Integra LifeSciences Holdings Corp ,9,0.0,0.0,na,IART,na,na
1491, Intel Corp ,39,1.0,0.0,na,INTC,na,na
1494, Interactive Brokers Group Inc ,11,0.0,0.0,na,IBKR,na,na
1496, Intercontinental Exchange Inc ,30,0.0,0.0,na,na,ICE,na
1497, InterContinental Hotels Group PLC ,77,0.0,1.0,United Kingdom (UK),na,IHG,na
1498, Intercorp Financial Services Inc ,8,0.0,0.0,na,PFIS,IFS,na
1501, International Business Machines Corp ,46,0.0,0.0,na,na,IBM,na
1513, Intuit Inc ,27,0.0,1.0,United States of America (USA),INTU,na,na
1521, Invesco Ltd ,29,0.0,0.0,na,na,IVZ,na
1523, Investor AB ,26,0.0,0.0,na,na,na,INVE B
1524, Invitation Homes Inc ,7,0.0,0.0,na,na,INVH,na
1528, IPG Photonics Corp ,10,0.0,0.0,na,IPGP,na,na
1535, Iron Mountain Inc ,52,0.0,1.0,United States of America (USA),na,IRM,na
1538, Israel Chemicals Ltd ,32,0.0,0.0,na,na,ICL,na
1540, ISS A/S ,59,0.0,0.0,na,na,na,ISS
1543, Itau CorpBanca ,63,0.0,0.0,na,na,ITCB,na
1549, ITT Inc ,20,0.0,0.0,na,na,ITT,na
1555, Jack Henry & Associates Inc ,12,0.0,0.0,na,JKHY,na,na
1556, Jacobs Engineering Group Inc ,38,0.0,0.0,na,na,J,na
1557, James Hardie Industries PLC ,15,0.0,0.0,na,na,JHX,na
1558, Janus Henderson Group PLC ,46,0.0,0.0,na,na,JHG,na
1572, Jazz Pharmaceuticals PLC ,16,0.0,0.0,na,JAZZ,na,na
1579, Jefferies Financial Group Inc ,19,0.0,0.0,na,na,JEF,na
1588, Johnson Controls International plc ,67,1.0,1.0,Ireland,na,JCI,na
1591, Jones Lang LaSalle Inc ,57,0.0,0.0,na,na,JLL,na
1614, Kansas City Southern ,35,1.0,0.0,na,na,KSU^,na
1617, KAR Auction Services Inc ,8,0.0,0.0,na,na,KAR,na
1621, KB Financial Group Inc ,80,0.0,0.0,na,na,KB,na
1629, Kellogg Co ,74,0.0,1.0,United States of America (USA),na,K,na
1630, Kemper Corp ,10,0.0,0.0,na,na,KMPR,na
1632, Kennametal Inc ,13,0.0,0.0,na,na,KMT,na
1638, Keurig Dr Pepper Inc ,37,0.0,1.0,United States of America (USA),na,KDP,na
1640, KeyCorp ,33,0.0,0.0,na,na,KEY^K,na
1643, Keysight Technologies Inc ,43,0.0,0.0,na,na,KEYS,na
1648, Kimberly-Clark Corp ,31,1.0,1.0,United States of America (USA),na,KMB,na
1659, Kinnevik AB ,30,0.0,0.0,na,na,na,KINV B
1660, Kinross Gold Corp ,69,0.0,0.0,na,na,KGC,na
1663, Kirby Corp ,7,0.0,0.0,na,na,KEX,na
1665, Kirkland Lake Gold Ltd ,7,0.0,0.0,na,na,KL,na
1667, KLA Corp ,22,0.0,0.0,na,KLAC,na,na
1685, Kone OYJ ,46,1.0,1.0,Finland,na,na,KNEBV
1690, Koninklijke Philips NV ,82,1.0,0.0,na,na,PHG,na
1693, Korea Electric Power Corp ,59,0.0,0.0,na,na,KEP,na
1702, Kraft Heinz Co ,48,0.0,1.0,United States of America (USA),KHC,na,na
1705, KT Corp ,78,0.0,0.0,na,na,KT,na
1729, Laboratory Corp of America Holdings ,16,0.0,0.0,na,na,LH,na
1731, Lagardere SCA ,59,0.0,0.0,na,na,na,SCA B
1732, Lam Research Corp ,33,0.0,0.0,na,LRCX,na,na
1733, Lamb Weston Holdings Inc ,7,0.0,0.0,na,na,LW,na
1740, Las Vegas Sands Corp ,63,0.0,1.0,United States of America (USA),na,LVS,na
1741, Latam Airlines Group SA ,75,0.0,1.0,Chile,na,LTM,na
1743, Lazard Ltd ,21,0.0,0.0,na,na,LAZ,na
1744, Lear Corp ,21,0.0,0.0,na,na,LEA,na
1748, Leggett & Platt Inc ,11,0.0,0.0,na,na,LEG,na
1752, Lennar Corp ,8,0.0,0.0,na,na,LEN.B,na
